time_sec,target_rps,actual_sent,success_count,fail_count,sla_violation_count,avg_latency_ms,p95_latency_ms,active_ports,scenario,phase
260,136,136,136,0,0,373.81,457.53,"8001,8002,8003",sale_event,ramp_up
261,139,139,139,0,0,427.8,484.51,"8001,8002,8003",sale_event,ramp_up
262,149,149,149,0,0,401.91,490.25,"8001,8002,8003",sale_event,ramp_up
263,152,152,152,0,0,405.99,484.2,"8001,8002,8003",sale_event,ramp_up
264,156,156,156,0,0,426.71,495.84,"8001,8002,8003",sale_event,ramp_up
265,144,144,144,0,0,437.24,502.85,"8001,8002,8003",sale_event,ramp_up
266,148,148,148,0,0,438.75,522.8,"8001,8002,8003",sale_event,ramp_up
267,148,148,148,0,0,420.73,468.79,"8001,8002,8003",sale_event,ramp_up
268,141,141,141,0,0,418.02,453.49,"8001,8002,8003",sale_event,ramp_up
269,146,146,146,0,0,387.52,473.72,"8001,8002,8003",sale_event,ramp_up
270,149,149,149,0,0,452.03,516.3,"8001,8002,8003",sale_event,ramp_up
271,149,149,149,0,0,438.39,480.33,"8001,8002,8003",sale_event,ramp_up
272,156,156,156,0,0,420.07,520.19,"8001,8002,8003",sale_event,ramp_up
273,147,147,147,0,0,433.36,500.03,"8001,8002,8003",sale_event,ramp_up
274,149,149,149,0,0,396.34,486.4,"8001,8002,8003",sale_event,ramp_up
275,152,152,152,0,0,383.7,491.3,"8001,8002,8003",sale_event,ramp_up
276,161,161,161,0,0,431.84,525.39,"8001,8002,8003",sale_event,ramp_up
277,157,157,157,0,0,438.73,500.67,"8001,8002,8003",sale_event,ramp_up
278,158,158,158,0,0,424.04,510.0,"8001,8002,8003",sale_event,ramp_up
279,160,160,160,0,0,448.1,537.31,"8001,8002,8003",sale_event,ramp_up
280,156,156,156,0,0,410.27,493.88,"8001,8002,8003",sale_event,ramp_up
281,165,165,165,0,0,462.59,559.14,"8001,8002,8003",sale_event,ramp_up
282,161,161,161,0,0,477.41,564.6,"8001,8002,8003",sale_event,ramp_up
283,160,160,160,0,0,430.91,509.87,"8001,8002,8003",sale_event,ramp_up
284,164,164,164,0,0,400.28,518.57,"8001,8002,8003",sale_event,ramp_up
285,168,168,168,0,0,429.19,539.64,"8001,8002,8003",sale_event,ramp_up
286,160,160,160,0,0,492.06,575.57,"8001,8002,8003",sale_event,ramp_up
287,159,159,159,0,0,462.81,539.81,"8001,8002,8003",sale_event,ramp_up
288,158,158,158,0,0,489.93,567.65,"8001,8002,8003",sale_event,ramp_up
289,165,165,165,0,0,435.12,538.74,"8001,8002,8003",sale_event,ramp_up
290,175,175,175,0,0,448.49,565.56,"8001,8002,8003",sale_event,ramp_up
291,173,173,173,0,0,550.02,759.09,"8001,8002,8003",sale_event,ramp_up
292,178,178,178,0,0,558.45,714.33,"8001,8002,8003",sale_event,ramp_up
293,164,164,164,0,0,457.89,549.71,"8001,8002,8003",sale_event,ramp_up
294,166,166,166,0,0,469.26,551.15,"8001,8002,8003",sale_event,ramp_up
295,162,162,162,0,0,597.17,744.85,"8001,8002,8003",sale_event,ramp_up
296,175,175,175,0,0,587.18,686.56,"8001,8002,8003",sale_event,ramp_up
297,179,179,179,0,0,513.94,655.22,"8001,8002,8003",sale_event,ramp_up
298,167,167,167,0,0,465.06,562.32,"8001,8002,8003",sale_event,ramp_up
299,172,172,172,0,0,464.02,594.93,"8001,8002,8003",sale_event,ramp_up
300,169,169,169,0,0,482.87,601.61,"8001,8002,8003",sale_event,ramp_up
301,177,177,177,0,0,495.16,636.73,"8001,8002,8003",sale_event,ramp_up
302,183,183,183,0,0,475.17,616.09,"8001,8002,8003",sale_event,ramp_up
303,173,173,173,0,0,436.41,548.34,"8001,8002,8003",sale_event,ramp_up
304,182,182,182,0,0,491.75,626.36,"8001,8002,8003",sale_event,ramp_up
305,175,175,175,0,0,524.32,649.01,"8001,8002,8003",sale_event,ramp_up
306,183,183,183,0,0,499.1,605.29,"8001,8002,8003",sale_event,ramp_up
307,184,184,184,0,0,500.19,630.85,"8001,8002,8003",sale_event,ramp_up
308,179,179,179,0,0,478.27,605.03,"8001,8002,8003",sale_event,ramp_up
309,190,190,190,0,0,509.59,713.61,"8001,8002,8003",sale_event,ramp_up
310,172,172,172,0,0,435.39,563.15,"8001,8002,8003",sale_event,ramp_up
311,189,189,189,0,0,510.68,670.67,"8001,8002,8003",sale_event,ramp_up
312,182,182,182,0,0,536.5,643.04,"8001,8002,8003",sale_event,ramp_up
313,191,191,191,0,0,672.19,925.03,"8001,8002,8003",sale_event,ramp_up
314,190,190,190,0,0,551.34,706.01,"8001,8002,8003",sale_event,ramp_up
315,195,195,195,0,0,535.21,725.06,"8001,8002,8003",sale_event,ramp_up
316,181,181,181,0,0,504.24,622.59,"8001,8002,8003",sale_event,ramp_up
317,180,180,180,0,0,590.05,728.67,"8001,8002,8003",sale_event,ramp_up
318,186,186,186,0,0,591.89,763.73,"8001,8002,8003",sale_event,ramp_up
319,190,190,190,0,0,512.99,677.04,"8001,8002,8003",sale_event,ramp_up
320,192,192,192,0,0,546.91,688.9,"8001,8002,8003",sale_event,ramp_up
321,193,193,193,0,0,546.93,716.4,"8001,8002,8003",sale_event,ramp_up
322,187,187,187,0,0,505.84,662.64,"8001,8002,8003",sale_event,ramp_up
323,198,198,198,0,0,499.66,682.31,"8001,8002,8003",sale_event,ramp_up
324,187,187,187,0,0,489.99,618.05,"8001,8002,8003",sale_event,ramp_up
325,192,192,192,0,0,498.17,664.82,"8001,8002,8003",sale_event,ramp_up
326,191,191,191,0,0,488.68,647.42,"8001,8002,8003",sale_event,ramp_up
327,190,190,190,0,0,488.57,658.49,"8001,8002,8003",sale_event,ramp_up
328,205,205,205,0,0,575.02,732.91,"8001,8002,8003",sale_event,ramp_up
329,189,189,189,0,0,593.91,732.33,"8001,8002,8003",sale_event,ramp_up
330,200,200,200,0,0,520.0,679.59,"8001,8002,8003",sale_event,ramp_up
331,192,192,192,0,0,496.33,639.1,"8001,8002,8003",sale_event,ramp_up
332,196,196,196,0,0,584.0,768.57,"8001,8002,8003",sale_event,ramp_up
333,208,208,208,0,0,538.29,713.52,"8001,8002,8003",sale_event,ramp_up
334,197,197,197,0,0,540.14,707.02,"8001,8002,8003",sale_event,ramp_up
335,209,209,209,0,0,492.18,684.51,"8001,8002,8003",sale_event,ramp_up
336,200,200,200,0,0,515.05,669.53,"8001,8002,8003",sale_event,ramp_up
337,207,207,207,0,0,571.9,762.24,"8001,8002,8003",sale_event,ramp_up
338,211,211,211,0,0,594.91,793.76,"8001,8002,8003",sale_event,ramp_up
339,214,214,214,0,0,519.6,802.77,"8001,8002,8003",sale_event,ramp_up
340,210,210,210,0,0,500.15,728.75,"8001,8002,8003",sale_event,ramp_up
341,195,195,195,0,0,524.29,666.94,"8001,8002,8003",sale_event,ramp_up
342,196,196,196,0,0,543.63,676.26,"8001,8002,8003",sale_event,ramp_up
343,197,197,197,0,0,510.65,697.6,"8001,8002,8003",sale_event,ramp_up
344,206,206,206,0,0,553.6,788.43,"8001,8002,8003",sale_event,ramp_up
345,208,208,208,0,0,575.36,772.27,"8001,8002,8003",sale_event,ramp_up
346,206,206,206,0,0,612.61,789.41,"8001,8002,8003",sale_event,ramp_up
347,220,220,220,0,0,704.96,939.44,"8001,8002,8003",sale_event,ramp_up
